Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
16/1/2020, 39, CONDUCTOR, CAMINO GENERAL OSVALDO RODRIGUEZ, SUBURBANA , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576330, 6149900 
16/1/2020, 62, CONDUCTOR, DOCTOR MAGESTED, SUBURBANA , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 19, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 574430, 6141665 
16/1/2020, 35, CONDUCTOR, DOCTOR MAGESTED, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 574430, 6141665 
17/1/2020, 30, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, FEMENINO, 1, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576230, 6139060 
17/1/2020, 48, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 1, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576230, 6139060 
17/1/2020, 31, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 6, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577200, 6140020 
17/1/2020, 62, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577200, 6140020 
17/1/2020, 64, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577200, 6140020 
17/1/2020, 32, CONDUCTOR, AVENIDA JOSE BELLONI, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 579070, 6143685 
17/1/2020, 40, CONDUCTOR, AVENIDA JOSE BELLONI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579070, 6143685 
17/1/2020, 19, CONDUCTOR, AVENIDA JOSE PEDRO VARELA, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, FEMENINO, 9, MONTEVIDEO, MONTEVIDEO, BICICLETA, 1, 576125, 6141125 
17/1/2020, 81, CONDUCTOR, AVENIDA JOSE PEDRO VARELA, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 9, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576125, 6141125 
17/1/2020, 42, PEATÓN, AVENIDA GENERAL SAN MARTIN, SUBURBANA , HERIDO GRAVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 9, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 575040, 6141855 
17/1/2020, 79, CONDUCTOR, AVENIDA GENERAL SAN MARTIN, SUBURBANA , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 9, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575040, 6141855 
17/1/2020, 30, CONDUCTOR, CANSTATT, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 10, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576880, 6140845 
17/1/2020, 59, CONDUCTOR, CANSTATT, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 10, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576880, 6140845 
17/1/2020, 54, CONDUCTOR, AVENIDA GONZALO RAMIREZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 11, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 574245, 6136415 
17/1/2020, 79, CONDUCTOR, AVENIDA GONZALO RAMIREZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 11, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 574245, 6136415 
17/1/2020, 38, CONDUCTOR, BOULEVARD JOSE BATLLE Y ORDOÑEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 8, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 573045, 6144550 
17/1/2020, 57, CONDUCTOR, BOULEVARD JOSE BATLLE Y ORDOÑEZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, FEMENINO, 8, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 573045, 6144550 
17/1/2020, 25, CONDUCTOR, RUTA DE ACCESOS, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 572170, 6140580 
17/1/2020, 54, CONDUCTOR, AVENIDA DAMASO ANTONIO LARRAÑAGA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 577490, 6141690 
17/1/2020, 55, CONDUCTOR, AVENIDA DAMASO ANTONIO LARRAÑAGA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577490, 6141690 
17/1/2020, 4, PASAJERO, CANELONES, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575645, 6136920 
17/1/2020, 24, CONDUCTOR, CANELONES, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, FEMENINO, 12, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 575645, 6136920 
17/1/2020, 1, PASAJERO, CANELONES, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575645, 6136920 
17/1/2020, 37, CONDUCTOR, CANELONES, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575645, 6136920 
17/1/2020, 34, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 576395, 6136980 
17/1/2020, 57, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576395, 6136980 
17/1/2020, 58, PASAJERO, BOULEVARD GENERAL ARTIGAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, NO USA CINTURÓN, SIN DATOS, VIERNES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 576395, 6136980 
17/1/2020, 15, PASAJERO, DEMOCRACIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575230, 6138770 
17/1/2020, 25, PASAJERO, DEMOCRACIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575230, 6138770 
17/1/2020, 26, CONDUCTOR, DEMOCRACIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575230, 6138770 
17/1/2020, 54, CONDUCTOR, DEMOCRACIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575230, 6138770 
17/1/2020, 23, CONDUCTOR, SAMUEL LAFONE, SUBURBANA , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 567875, 6141530 
17/1/2020, 52, CONDUCTOR, SAMUEL LAFONE, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 567875, 6141530 
17/1/2020, 42, CONDUCTOR, AVENIDA GENERAL SAN MARTIN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576075, 6145180 
17/1/2020, 45, CONDUCTOR, DALMIRO COSTA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580410, 6138660 
17/1/2020, 11, PASAJERO, DALMIRO COSTA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580410, 6138660 
17/1/2020, 17, PASAJERO, DALMIRO COSTA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580410, 6138660 
17/1/2020, 32, CONDUCTOR, DALMIRO COSTA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 580410, 6138660 
17/1/2020, 30, PASAJERO, MATEO CORTES, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, FEMENINO, 14, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 579975, 6143465 
17/1/2020, 71, CONDUCTOR, MATEO CORTES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579975, 6143465 
17/1/2020, 33, CONDUCTOR, ALBERTO ZUM FELDE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 582630, 6139345 
17/1/2020, 62, CONDUCTOR, ALBERTO ZUM FELDE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 582630, 6139345 
17/1/2020, 29, CONDUCTOR, PEDRO DE LA SIERRA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578035, 6137330 
17/1/2020, SIN DATOS, CONDUCTOR, PEDRO DE LA SIERRA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, BICICLETA, 1, 578035, 6137330 
17/1/2020, 70, PEATÓN, AVENIDA ITALIA, URBANA    , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 6, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 578750, 6139210 
17/1/2020, SIN DATOS, CONDUCTOR, AVENIDA ITALIA, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 6, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578750, 6139210 
17/1/2020, 14, PASAJERO, MARCOS SASTRE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579540, 6142130 
17/1/2020, 33, PASAJERO, MARCOS SASTRE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579540, 6142130 
17/1/2020, 34, PASAJERO, MARCOS SASTRE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579540, 6142130 
17/1/2020, 35, CONDUCTOR, MARCOS SASTRE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579540, 6142130 
17/1/2020, 47, CONDUCTOR, MARCOS SASTRE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579540, 6142130 
17/1/2020, 3, PASAJERO, AVENIDA LEZICA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 569175, 6148875 
17/1/2020, 30, CONDUCTOR, AVENIDA LEZICA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 569175, 6148875 
17/1/2020, 47, PASAJERO, AVENIDA LEZICA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 569175, 6148875 
17/1/2020, 50, CONDUCTOR, AVENIDA LEZICA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 569175, 6148875 
17/1/2020, 22, PASAJERO, RAMBLA MAHATMA GANDHI, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, FEMENINO, 21, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576850, 6134660 
17/1/2020, 43, CONDUCTOR, RAMBLA MAHATMA GANDHI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576850, 6134660 
17/1/2020, 21, CONDUCTOR, RAMBLA MAHATMA GANDHI, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576850, 6134660 
17/1/2020, 34, CONDUCTOR, INGENIERO JOSE SERRATO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 577630, 6141820 
17/1/2020, 65, CONDUCTOR, INGENIERO JOSE SERRATO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577630, 6141820 
17/1/2020, SIN DATOS, CONDUCTOR, LEON PEREZ, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575675, 6142915 
17/1/2020, 17, PEATÓN, LEON PEREZ, URBANA    , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 575675, 6142915 
17/1/2020, 43, CONDUCTOR, FRANCISCO BONILLA, URBANA    , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 21, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576360, 6148105 
18/1/2020, 23, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 5, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576230, 6139060 
18/1/2020, 44, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 5, MONTEVIDEO, MONTEVIDEO, SIN DATOS, 1, 576230, 6139060 
18/1/2020, 24, CONDUCTOR, CAMINO CAPITAN TULA, URBANA    , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, NO USA CASCO, SÁBADO, MASCULINO, 7, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 579295, 6146530 
18/1/2020, 47, CONDUCTOR, AVENIDA AGRACIADA, URBANA    , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 8, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 573890, 6139235 
18/1/2020, 43, CONDUCTOR, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 9, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 570025, 6141735 
18/1/2020, 62, PASAJERO, CAMINO MALDONADO, SUBURBANA , HERIDO LEVE, CAÍDA, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 11, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 579385, 6142665 
18/1/2020, 44, CONDUCTOR, CAMINO MALDONADO, SUBURBANA , ILESO, CAÍDA, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 11, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 579385, 6142665 
18/1/2020, 28, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 12, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 576130, 6140315 
18/1/2020, 46, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576130, 6140315 
17/1/2020, 72, CONDUCTOR, REPUBLICA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575215, 6138120 
18/1/2020, 19, CONDUCTOR, PEDRO GIRALT, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 569875, 6141740 
18/1/2020, 30, CONDUCTOR, JOANICO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578560, 6140620 
18/1/2020, 40, CONDUCTOR, JOANICO, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 578560, 6140620 
18/1/2020, 57, PASAJERO, CUATRO DE JULIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 15, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577830, 6137975 
18/1/2020, 41, CONDUCTOR, CUATRO DE JULIO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 577830, 6137975 
18/1/2020, 60, CONDUCTOR, CUATRO DE JULIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 15, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577830, 6137975 
18/1/2020, 29, CONDUCTOR, AVENIDA OCHO DE OCTUBRE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578220, 6140255 
18/1/2020, 29, CONDUCTOR, AVENIDA OCHO DE OCTUBRE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 578220, 6140255 
18/1/2020, 42, CONDUCTOR, LANUS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, FEMENINO, 16, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 570055, 6148410 
